Data,Abertura,Max,Min,Fechamento,Volume,Mercado
8/16/2020,"11,866.69","11,934.90","11,737.19","11,892.80","20,583,375,490","219,576,092,170"
8/15/2020,"11,768.70","11,963.20","11,768.70","11,865.70","23,354,924,400","219,064,372,745"
8/14/2020,"11,772.66","12,150.99","11,685.46","11,768.87","24,237,958,589","217,265,120,503"
8/13/2020,"11,588.41","11,796.40","11,216.87","11,784.14","27,522,199,497","217,534,728,413"
8/12/2020,"11,404.60","11,748.40","11,249.61","11,584.93","25,064,548,486","213,846,666,475"
8/11/2020,"11,881.65","11,932.71","11,195.71","11,410.53","27,039,782,640","210,616,121,945"
8/10/2020,"11,662.26","12,045.14","11,662.26","11,878.11","26,114,112,569","219,235,405,395"
8/9/2020,"11,737.33","11,806.06","11,548.78","11,675.74","17,489,608,833","215,490,364,255"
8/8/2020,"11,604.55","11,800.06","11,558.43","11,754.05","17,572,057,837","216,924,147,851"
8/7/2020,"11,778.89","11,898.04","11,408.59","11,601.47","23,132,312,867","214,097,928,027"
8/6/2020,"11,749.87","11,902.34","11,598.71","11,779.77","23,400,740,340","217,377,233,001"
8/5/2020,"11,203.82","11,786.62","11,158.29","11,747.02","24,411,254,471","216,761,492,406"
8/4/2020,"11,246.20","11,385.38","11,094.15","11,205.89","21,250,197,042","206,767,135,617"
8/3/2020,"11,043.77","11,453.08","11,012.41","11,246.35","20,271,713,443","207,503,423,456"
8/2/2020,"11,758.76","12,034.14","11,018.13","11,053.61","27,410,067,336","203,936,136,730"
8/1/2020,"11,322.57","11,794.78","11,239.68","11,759.59","26,075,670,303","216,950,669,098"
7/31/2020,"11,110.21","11,415.86","10,987.05","11,323.47","23,160,469,766","208,895,308,529"
7/30/2020,"11,099.83","11,169.36","10,895.46","11,111.21","22,857,247,901","204,969,047,788"
7/29/2020,"10,912.95","11,304.40","10,856.14","11,100.47","24,617,249,715","204,761,455,133"
7/28/2020,"11,017.46","11,204.33","10,632.63","10,912.82","28,766,551,142","201,290,022,193"
7/27/2020,"9,905.22","11,298.22","9,903.97","10,990.87","35,359,749,590","202,719,581,737"
7/26/2020,"9,680.23","10,023.81","9,652.85","9,905.17","20,507,998,997","182,685,328,095"
7/25/2020,"9,539.49","9,704.56","9,530.21","9,677.11","16,610,070,933","178,469,614,078"
7/24/2020,"9,585.51","9,623.34","9,481.45","9,536.89","16,552,768,325","175,875,016,548"
7/23/2020,"9,527.14","9,610.25","9,483.00","9,581.07","18,146,399,002","176,680,237,480"
7/22/2020,"9,375.08","9,530.52","9,319.65","9,525.36","16,532,254,884","175,644,844,408"
7/21/2020,"9,162.51","9,407.26","9,149.39","9,374.89","18,069,581,956","172,861,732,402"
7/20/2020,"9,187.22","9,214.27","9,137.51","9,164.23","13,755,604,146","168,970,262,859"
7/19/2020,"9,158.01","9,201.40","9,097.63","9,185.82","12,939,002,784","169,360,219,986"
7/18/2020,"9,151.18","9,230.98","9,100.82","9,159.04","12,252,601,475","168,858,972,269"
7/17/2020,"9,131.81","9,182.25","9,089.20","9,151.39","13,944,570,749","168,710,427,574"
7/16/2020,"9,191.98","9,214.31","9,088.95","9,132.23","15,713,967,523","168,350,501,976"
7/15/2020,"9,241.90","9,275.33","9,171.93","9,192.84","15,844,731,575","169,460,074,576"
7/14/2020,"9,238.70","9,283.84","9,171.66","9,243.21","18,085,038,362","170,380,670,525"
7/13/2020,"9,277.20","9,306.40","9,224.29","9,243.61","17,519,821,266","170,379,677,119"
7/12/2020,"9,241.06","9,319.42","9,197.45","9,276.50","14,452,361,907","170,977,422,928"
7/11/2020,"9,277.51","9,293.53","9,199.49","9,240.35","13,249,910,444","170,302,234,778"
7/10/2020,"9,273.36","9,287.47","9,118.00","9,278.81","16,860,035,605","171,001,933,827"
7/9/2020,"9,427.99","9,431.38","9,235.00","9,277.97","18,000,702,524","170,977,231,638"
7/8/2020,"9,253.02","9,450.34","9,249.50","9,428.33","19,702,359,883","173,738,543,115"
7/7/2020,"9,349.16","9,360.62","9,201.82","9,252.28","13,839,652,595","170,485,472,276"
7/6/2020,"9,072.85","9,375.47","9,058.66","9,375.47","17,889,263,252","172,746,103,840"
7/5/2020,"9,126.09","9,162.18","8,977.02","9,073.94","12,903,406,143","167,181,726,154"
7/4/2020,"9,084.23","9,183.30","9,053.63","9,132.49","12,290,528,515","168,251,076,678"
7/3/2020,"9,124.84","9,202.34","9,058.79","9,087.30","13,078,970,999","167,409,720,388"
7/2/2020,"9,231.14","9,274.96","9,036.62","9,123.41","16,338,916,796","168,065,586,387"
7/1/2020,"9,145.99","9,309.75","9,104.73","9,228.33","15,971,550,355","169,988,756,578"
6/30/2020,"9,185.58","9,217.84","9,084.84","9,137.99","15,735,797,744","168,315,606,321"
6/29/2020,"9,140.03","9,237.57","9,041.88","9,190.85","16,460,547,078","169,280,659,246"
6/28/2020,"9,048.46","9,197.55","8,975.53","9,143.58","14,560,870,760","168,401,806,137"
6/27/2020,"9,167.82","9,207.81","8,998.22","9,045.39","17,273,093,144","166,584,831,506"
6/26/2020,"9,260.99","9,310.52","9,101.74","9,162.92","18,341,465,837","168,741,367,622"
6/25/2020,"9,314.13","9,340.16","9,095.32","9,264.81","18,616,048,626","170,608,289,504"
6/24/2020,"9,632.15","9,680.37","9,278.23","9,313.61","18,961,716,076","171,498,781,280"
6/23/2020,"9,644.08","9,670.54","9,547.25","9,629.66","17,006,433,272","177,310,052,079"
6/22/2020,"9,300.92","9,655.07","9,296.87","9,648.72","21,104,009,514","177,651,397,437"
6/21/2020,"9,330.93","9,401.11","9,300.43","9,303.63","15,324,301,169","171,289,415,079"
6/20/2020,"9,290.96","9,394.97","9,247.38","9,332.34","17,130,541,557","171,809,438,651"
6/19/2020,"9,410.29","9,440.88","9,274.30","9,288.02","19,632,223,107","170,985,625,732"
6/18/2020,"9,481.57","9,482.78","9,328.40","9,411.84","17,770,083,003","173,256,688,664"
6/17/2020,"9,533.78","9,540.42","9,327.34","9,480.26","20,177,709,879","174,508,805,561"
6/16/2020,"9,454.27","9,579.43","9,400.45","9,538.02","21,565,537,209","175,563,963,385"
6/15/2020,"9,386.04","9,504.86","8,990.18","9,450.70","26,699,704,768","173,947,607,772"
6/14/2020,"9,477.55","9,482.27","9,347.59","9,386.79","18,991,732,746","172,763,239,787"
6/13/2020,"9,480.74","9,493.21","9,396.01","9,475.28","17,564,322,315","174,381,819,725"
6/12/2020,"9,320.69","9,540.47","9,285.85","9,480.84","22,610,564,515","174,474,896,922"
6/11/2020,"9,870.08","9,938.30","9,263.07","9,321.78","30,247,143,440","171,538,133,043"
6/10/2020,"9,794.12","9,908.90","9,728.29","9,870.09","25,706,567,601","181,616,765,438"
6/9/2020,"9,774.36","9,836.37","9,664.72","9,795.70","23,717,842,783","180,237,817,527"
6/8/2020,"9,760.06","9,782.31","9,675.89","9,771.49","21,486,346,312","179,782,576,534"
6/7/2020,"9,653.00","9,768.50","9,458.15","9,758.85","25,015,250,846","179,540,253,701"
6/6/2020,"9,664.90","9,773.43","9,591.02","9,653.68","20,438,419,222","177,595,657,884"
6/5/2020,"9,800.22","9,869.24","9,663.22","9,665.53","23,509,628,646","177,801,825,145"
6/4/2020,"9,655.85","9,887.61","9,525.25","9,800.64","25,921,805,072","180,276,153,545"
6/3/2020,"9,533.76","9,682.86","9,471.85","9,656.72","25,007,459,262","177,619,631,126"
6/2/2020,"10,162.97","10,182.34","9,460.57","9,529.80","39,137,252,109","175,277,218,229"
6/1/2020,"9,463.61","10,199.56","9,450.90","10,167.27","35,198,901,068","186,993,405,740"
5/31/2020,"9,700.11","9,700.34","9,432.30","9,461.06","27,773,290,299","173,997,151,930"
5/30/2020,"9,438.91","9,704.03","9,366.73","9,700.41","32,722,975,141","178,390,129,758"
5/29/2020,"9,528.36","9,573.67","9,379.34","9,439.12","32,896,642,044","173,575,756,364"
5/28/2020,"9,184.94","9,546.32","9,148.46","9,525.75","34,367,073,114","175,161,235,290"
5/27/2020,"8,837.38","9,203.32","8,834.16","9,181.02","32,740,536,902","168,814,700,531"
5/26/2020,"8,909.59","8,991.97","8,757.29","8,835.05","29,584,186,947","162,445,535,235"
5/25/2020,"8,786.11","8,951.01","8,719.67","8,906.93","31,288,157,264","163,760,453,116"
5/24/2020,"9,212.28","9,288.40","8,787.25","8,790.37","32,518,803,300","161,610,414,643"
5/23/2020,"9,185.06","9,302.50","9,118.11","9,209.29","27,727,866,812","169,305,492,440"
5/22/2020,"9,080.33","9,232.94","9,008.64","9,182.58","29,810,773,699","168,807,619,957"
5/21/2020,"9,522.74","9,555.24","8,869.93","9,081.76","39,326,160,532","166,947,987,864"
5/20/2020,"9,725.33","9,804.79","9,447.20","9,522.98","36,546,239,703","175,050,963,475"
5/19/2020,"9,727.06","9,836.05","9,539.62","9,729.04","39,254,288,955","178,831,635,026"
5/18/2020,"9,675.69","9,906.03","9,570.36","9,726.57","41,827,139,896","178,779,483,464"
5/17/2020,"9,374.93","9,823.00","9,349.55","9,670.74","40,084,250,663","177,745,404,470"
5/16/2020,"9,333.24","9,564.20","9,260.69","9,377.01","36,164,766,408","172,340,956,579"
5/15/2020,"9,734.29","9,755.83","9,261.40","9,328.20","48,158,802,327","171,436,341,789"
5/14/2020,"9,271.33","9,793.27","9,255.03","9,733.72","56,426,907,637","178,881,641,547"
5/13/2020,"8,805.39","9,317.88","8,805.39","9,269.99","45,558,144,023","170,352,710,071"
5/12/2020,"8,610.39","8,949.90","8,569.64","8,804.48","42,142,717,533","161,791,577,301"
5/11/2020,"8,755.54","9,033.47","8,374.32","8,601.80","57,119,858,802","158,059,235,276"
5/10/2020,"9,591.17","9,595.58","8,395.11","8,756.43","63,325,279,337","160,884,755,211"
5/9/2020,"9,840.91","9,913.86","9,580.64","9,593.90","46,566,121,841","176,251,395,673"
5/8/2020,"9,936.16","9,996.74","9,767.17","9,842.67","51,780,748,042","180,804,859,844"
5/7/2020,"9,261.90","9,992.66","9,138.32","9,951.52","61,112,700,562","182,787,376,637"
5/6/2020,"9,007.44","9,411.47","8,966.71","9,268.76","49,371,886,931","170,229,620,935"
5/5/2020,"8,912.83","9,062.41","8,856.83","9,003.07","43,148,462,663","165,332,488,792"
5/4/2020,"8,895.74","8,956.91","8,645.02","8,912.65","45,718,796,276","163,654,493,632"
5/3/2020,"8,983.61","9,167.78","8,830.97","8,897.47","47,101,785,174","163,358,189,151"
5/2/2020,"8,869.06","9,007.19","8,811.37","8,988.60","40,134,388,683","165,012,307,600"
5/1/2020,"8,672.78","9,048.02","8,667.76","8,864.77","44,068,389,997","162,722,652,380"
4/30/2020,"8,797.67","9,440.65","8,533.26","8,658.55","66,964,629,541","158,922,133,909"
4/29/2020,"7,806.71","8,871.75","7,786.05","8,801.04","60,201,052,203","161,522,471,385"
4/28/2020,"7,796.97","7,814.53","7,730.81","7,807.06","33,187,959,921","143,266,252,261"
4/27/2020,"7,679.42","7,795.60","7,679.42","7,795.60","36,162,144,725","143,040,988,590"
4/26/2020,"7,570.14","7,700.59","7,561.41","7,679.87","33,070,154,491","140,903,867,573"
4/25/2020,"7,550.48","7,641.36","7,521.67","7,569.94","32,941,541,447","138,874,072,264"
