A_Abrir,A_Alto,A_Baixo,A_Fechar,A_Volume,A_Cap
7300,7400,7200,7200,2200,13100
7500,7500,7300,7300,2300,13300
7400,7600,7300,7500,2300,13500
7300,7400,7300,7400,2200,13300
7300,7400,7200,7300,2300,13300
7300,7400,7300,7300,2300,13200
7400,7400,7300,7300,2200,13200
7400,7600,7300,7400,2300,13300
7600,7700,7400,7400,2800,13400
7200,7600,7200,7600,2400,13700
7300,7300,7200,7200,2000,13100
7300,7300,7100,7300,2300,13100
7300,7400,7100,7300,2600,13100
6700,7400,6600,7300,3200,13200
7000,7000,6600,6700,2300,12100
7200,7200,7000,7000,2100,12600
7200,7200,7000,7200,1700,13000
7300,7400,7100,7200,1800,12900
7300,7300,7300,7300,1800,13200
7300,7300,7200,7300,1900,13200
7300,7400,7200,7300,1700,13100
7400,7500,7300,7300,1900,13200
7600,7700,7400,7500,1800,13400
7600,7700,7500,7600,1600,13700
7600,7600,7600,7600,1600,13700
7500,7600,7400,7600,1900,13700
7300,7800,7300,7500,1900,13500
7400,7600,7200,7300,2200,13200
7400,7500,7300,7400,1500,13300
7500,7500,7300,7400,1800,13300
7600,7600,7300,7500,1900,13500
7800,7900,7600,7600,1800,13700
7500,7800,7500,7800,2000,14100
7600,7800,7500,7500,2000,13500
7300,7700,7000,7600,2400,13700
7200,7400,7100,7300,2200,13100
7100,7400,6700,7200,4300,13000
7400,7500,7100,7100,3100,12800
7300,7500,7200,7400,2200,13400
7700,7700,7000,7300,3500,13200
8100,8200,7600,7700,2300,13900
8300,8300,8100,8100,2100,14500
8400,8500,8100,8300,2200,14900
8600,8700,8300,8400,2200,15100
8600,8800,8600,8600,1900,15500
8500,8600,8500,8600,1700,15500
8800,8800,8500,8500,2200,15400
8900,8900,8700,8800,2000,15800
8900,8900,8800,8900,1800,15900
8800,8900,8700,8900,2100,16000
9100,9100,8800,8800,2100,15900
8900,9200,8900,9100,2100,16400
8900,8900,8800,8900,1800,15900
9300,9300,8800,8900,2500,15900
9400,9400,9300,9300,2300,16800
9400,9500,9400,9400,2400,16900
9500,9500,9300,9400,2700,16900
9300,9600,9200,9500,2700,17000
9400,9400,9200,9300,2200,16700
9300,9400,9300,9400,2200,16900
9200,9300,9200,9300,2500,16700
9300,9400,9100,9200,2700,16600
9500,9500,9100,9300,2800,16600
9300,9600,9300,9500,2900,17000
9600,9900,9300,9300,3100,16700
9300,9800,9200,9600,3300,17300
8700,10100,8700,9300,4500,16700
7500,8700,7500,8700,2900,15700
7600,7600,7500,7500,1700,13500
8100,8100,7500,7600,2200,13600
8300,8300,8100,8100,1700,14600
8300,8300,8200,8300,1600,14900
