AltaBaixa,A_Abrir,A_Alto,A_Baixo,A_Fechar,A_Volume,A_Cap
1,7295,7336,7170,7194,21168,130446
0,7421,7455,7277,7293,22874,132235
0,7318,7514,7280,7423,22445,134571
1,7290,7400,7287,7318,21366,132659
1,7239,7364,7190,7291,22777,132140
1,7275,7389,7201,7239,22787,131200
0,7326,7358,7221,7276,21560,131841
0,7355,7536,7270,7323,22992,132688
0,7509,7657,7327,7356,27832,133276
0,7192,7519,7168,7512,23135,136088
1,7221,7224,7113,7192,19313,130268
0,7209,7258,7087,7219,22634,130753
1,7278,7347,7042,7203,25905,130446
0,6648,7325,6541,7277,31837,131755
1,6932,6965,6588,6641,22364,120234
0,7154,7172,6904,6933,20213,125516
0,7125,7182,6925,7153,16881,129481
1,7269,7309,7098,7125,17137,128970
0,7245,7294,7228,7270,17126,131581
1,7217,7267,7165,7244,18927,131087
1,7278,7325,7196,7218,16350,130610
0,7398,7425,7247,7279,18249,131696
0,7562,7619,7366,7401,17872,133904
0,7552,7635,7477,7565,15410,136847
1,7548,7590,7526,7557,15454,136687
1,7451,7547,7393,7547,18104,136505
1,7254,7744,7233,7449,18816,134706
1,7321,7540,7171,7253,21664,131143
0,7324,7419,7230,7321,14797,132360
0,7425,7475,7234,7322,17082,132379
0,7572,7572,7292,7425,18721,134215
0,7765,7837,7516,7570,17158,136829
0,7467,7782,7461,7762,19710,140280
1,7537,7731,7455,7464,19050,134879
0,7221,7620,6975,7532,23991,136103
1,7146,7321,7099,7219,21130,130429
1,7040,7320,6618,7147,42685,129113
1,7399,7409,7030,7048,30434,127327
0,7297,7443,7152,7398,21009,133636
1,7644,7698,6937,7297,34242,131792
0,8024,8111,7598,7643,22514,138032
0,8204,8238,8011,8028,20764,144963
0,8306,8409,8100,8207,21084,148178
0,8574,8654,8274,8310,21579,150026
0,8550,8728,8501,8578,18669,154862
1,8492,8592,8474,8551,16495,154354
1,8706,8731,8485,8492,21797,153277
0,8812,8827,8693,8709,19085,157161
0,8813,8837,8762,8809,17546,158950
0,8760,8854,8686,8816,20310,159069
1,9057,9082,8701,8758,20266,158010
0,8813,9104,8807,9056,20588,163364
1,8810,8892,8794,8814,17579,158981
1,9266,9273,8776,8805,24333,158809
0,9353,9369,9203,9268,22700,167139
0,9341,9424,9306,9361,23134,168806
1,9413,9458,9257,9343,26199,168460
0,9236,9506,9192,9413,26170,169706
1,9325,9380,9142,9236,21132,166495
0,9260,9378,9250,9325,21243,168090
1,9194,9276,9133,9262,24325,166928
1,9203,9384,9029,9200,26584,165804
0,9423,9427,9086,9206,27707,165900
0,9249,9517,9233,9428,28427,169884
1,9566,9806,9257,9257,30948,166777
0,9242,9750,9113,9552,32593,172087
1,8668,10022,8663,9245,44496,166547
1,7491,8692,7480,8661,28705,156007
1,7510,7533,7447,7494,16269,134968
0,8077,8093,7470,7515,21943,135337
0,8244,8297,8075,8079,16803,145470
0,8226,8297,8197,8244,15869,148433
1,7998,8282,7950,8223,15504,148027
1,7974,8083,7945,7989,13798,143808
1,8101,8139,7903,7974,15652,143518
0,8048,8135,8001,8104,14313,145854
1,8205,8217,7986,8048,16072,144824
0,8374,8411,8183,8206,15220,147650
0,8321,8391,8285,8375,15151,150680
1,8337,8471,8277,8322,13808,149701
0,8316,8416,8314,8337,14533,149966
1,8586,8722,8317,8322,19604,149686
0,8586,8626,8472,8587,17619,154431
0,8230,8628,8170,8596,19385,154580
1,8247,8333,8186,8229,15592,147966
0,7990,8309,7906,8246,18010,148253
1,8150,8162,7959,7989,13161,143608
0,8211,8216,8072,8152,12200,146529
0,8260,8261,8152,8206,13139,147492
0,8391,8415,8147,8260,13669,148448
0,8345,8394,8228,8394,13126,150824
1,8300,8498,8233,8344,15305,149914
1,8105,8315,7831,8294,17115,149012
1,8247,8262,7991,8105,13035,145590
0,8252,8286,8126,8246,14141,148123
0,8114,8272,7966,8252,16409,148213
1,8488,8516,7896,8119,19258,145812
0,8604,8745,8326,8487,21745,152404
0,9730,9805,8371,8621,25003,154786
0,10068,10075,9728,9730,15145,174675
0,10025,10075,9923,10071,13200,180784
1,10184,10189,10001,10020,13425,179853
0,10267,10286,10133,10182,14734,182739
0,10201,10296,9852,10267,19938,184241
1,10248,10276,10192,10199,16169,182999
0,10282,10297,10200,10242,15305,183749
0,10348,10387,10190,10277,15160,184367
0,10357,10388,10314,10348,12043,185618
0,10346,10423,10292,10359,13469,185784
0,10416,10442,10227,10361,14110,185809
0,10177,10443,10100,10411,15324,186679
1,10124,10216,9981,10179,15428,182503
1,10337,10395,10021,10116,14907,181361
0,10444,10451,10145,10335,17596,185264
0,10519,10596,10410,10442,13671,187150
0,10354,10559,10349,10518,15307,188489
1,10579,10899,10293,10354,19537,185530
0,10589,10628,10517,10576,14551,189492
0,10622,10763,10435,10595,16743,189810
0,10346,10737,10309,10624,19385,190312
1,9758,10397,9731,10347,17248,185333
1,9631,9797,9583,9758,11445,174768
1,9598,9674,9532,9631,11455,172471
1,9515,9657,9429,9599,13595,171869
1,9757,9757,9422,9511,17046,170275
0,10204,10280,9717,9755,17604,174627
0,10373,10382,10088,10186,14763,182326
0,10127,10513,10127,10371,18439,185625
1,10161,10305,10009,10139,14154,181450
0,10408,10419,9983,10160,15451,181814
0,10137,10443,10079,10408,15627,186231
1,10143,10233,9832,10132,17098,181257
0,10765,10799,9963,10139,19473,181365
0,10917,10948,10619,10764,15053,192530
0,10351,10917,10314,10917,16038,195243
1,10234,10488,10120,10346,13000,185023
1,10359,10453,10087,10232,13778,182967
0,10320,10525,9856,10375,20228,185500
1,10039,10438,9676,10312,22899,184358
1,10890,10890,10029,10052,19991,179693
0,11386,11421,10831,10896,16682,194763
0,11529,11529,11321,11383,13647,203441
0,11350,11524,11249,11524,15774,205942
1,11862,11916,11324,11355,18125,202890
0,11954,11971,11710,11863,18340,211961
0,11955,11980,11557,11967,19482,213788
1,11477,12037,11434,11942,22195,213330
1,11812,12274,11291,11479,23635,205023
0,10961,11896,10961,11806,23876,210849
1,10822,11010,10621,10971,16531,195908
1,10520,10947,10504,10822,15353,193234
1,10403,10658,10372,10519,17489,187791
1,10078,10447,9923,10400,17165,185653
1,9605,10086,9599,10086,16632,180029
1,9523,9702,9438,9608,13830,171472
1,9549,9682,9473,9520,13791,169880
0,9492,9576,9253,9553,13739,170462
1,9872,10168,9412,9478,16818,169100
0,9914,9917,9718,9871,14496,176086
0,9810,10155,9774,9912,15822,176806
1,9888,9909,9615,9812,17399,175006
0,10347,10347,9884,9901,17852,176573
0,10597,10652,10155,10344,16334,184443
