AltaBaixa,A_Abrir,A_Alto,A_Baixo,A_Fechar,A_Volume,A_Cap
1,7295,7336,7170,7194,2200.00,13100.00
0,7421,7455,7277,7293,2300.00,13300.00
0,7318,7514,7280,7423,2300.00,13500.00
1,7290,7400,7287,7318,2200.00,13300.00
1,7239,7364,7190,7291,2300.00,13300.00
1,7275,7389,7201,7239,2300.00,13200.00
0,7326,7358,7221,7276,2200.00,13200.00
0,7355,7536,7270,7323,2300.00,13300.00
0,7509,7657,7327,7356,2800.00,13400.00
0,7192,7519,7168,7512,2400.00,13700.00
1,7221,7224,7113,7192,2000.00,13100.00
0,7209,7258,7087,7219,2300.00,13100.00
1,7278,7347,7042,7203,2600.00,13100.00
0,6648,7325,6541,7277,3200.00,13200.00
1,6932,6965,6588,6641,2300.00,12100.00
0,7154,7172,6904,6933,2100.00,12600.00
0,7125,7182,6925,7153,1700.00,13000.00
1,7269,7309,7098,7125,1800.00,12900.00
0,7245,7294,7228,7270,1800.00,13200.00
1,7217,7267,7165,7244,1900.00,13200.00
1,7278,7325,7196,7218,1700.00,13100.00
0,7398,7425,7247,7279,1900.00,13200.00
0,7562,7619,7366,7401,1800.00,13400.00
0,7552,7635,7477,7565,1600.00,13700.00
1,7548,7590,7526,7557,1600.00,13700.00
1,7451,7547,7393,7547,1900.00,13700.00
1,7254,7744,7233,7449,1900.00,13500.00
1,7321,7540,7171,7253,2200.00,13200.00
0,7324,7419,7230,7321,1500.00,13300.00
0,7425,7475,7234,7322,1800.00,13300.00
0,7572,7572,7292,7425,1900.00,13500.00
0,7765,7837,7516,7570,1800.00,13700.00
0,7467,7782,7461,7762,2000.00,14100.00
1,7537,7731,7455,7464,2000.00,13500.00
0,7221,7620,6975,7532,2400.00,13700.00
1,7146,7321,7099,7219,2200.00,13100.00
1,7040,7320,6618,7147,4300.00,13000.00
1,7399,7409,7030,7048,3100.00,12800.00
0,7297,7443,7152,7398,2200.00,13400.00
1,7644,7698,6937,7297,3500.00,13200.00
0,8024,8111,7598,7643,2300.00,13900.00
0,8204,8238,8011,8028,2100.00,14500.00
0,8306,8409,8100,8207,2200.00,14900.00
0,8574,8654,8274,8310,2200.00,15100.00
0,8550,8728,8501,8578,1900.00,15500.00
1,8492,8592,8474,8551,1700.00,15500.00
1,8706,8731,8485,8492,2200.00,15400.00
0,8812,8827,8693,8709,2000.00,15800.00
0,8813,8837,8762,8809,1800.00,15900.00
0,8760,8854,8686,8816,2100.00,16000.00
1,9057,9082,8701,8758,2100.00,15900.00
0,8813,9104,8807,9056,2100.00,16400.00
1,8810,8892,8794,8814,1800.00,15900.00
1,9266,9273,8776,8805,2500.00,15900.00
0,9353,9369,9203,9268,2300.00,16800.00
0,9341,9424,9306,9361,2400.00,16900.00
1,9413,9458,9257,9343,2700.00,16900.00
0,9236,9506,9192,9413,2700.00,17000.00
